name,is_active
Acosta_ServiceDesk,TRUE
Affinia,TRUE
Alcoa Europe,TRUE
Alcoa NOA,TRUE
AlvarezMarsal,TRUE
Amcor,TRUE
AVID,TRUE
AVID PRO,TRUE
BCG Europe,TRUE
BCGA,TRUE
Bio-Rad Global,TRUE
Brown-Forman,TRUE
Cambridge_Associates,TRUE
Career Education Corporation,TRUE
CCH_ServiceDesk,TRUE
Ceva_Global_Service_Desk,TRUE
Clariant Service Desk,TRUE
CLS ServiceDesk,TRUE
CNH,TRUE
CNHI_EMEA,TRUE
CNHI_NAFTA,TRUE
Covance,TRUE
Dana,TRUE
DeVry_Stefanini,TRUE
Duke,TRUE
Dunkin Brands Unified Service Desk,TRUE
Embraer,TRUE
Enel Green Power,TRUE
eNett,TRUE
Epsilon,TRUE
Essilor,TRUE
EuropCar,TRUE
EVOQUA_ServiceDesk,TRUE
Ferro,TRUE
Firmenich,TRUE
Flexera,TRUE
Ford,TRUE
Goodman Service Desk,TRUE
Hanon,TRUE
Heinz,TRUE
Honda,TRUE
Huron Consulting Group,TRUE
Infineum,TRUE
ITSS,TRUE
Jaguar Land Rover,TRUE
John Deere,TRUE
Joy Global,TRUE
KDS,TRUE
Lakeside_Software,TRUE
Levi Strauss Europe,TRUE
Life Science Services,TRUE
Linde,TRUE
Locomote,TRUE
Louis Vuitton North America,TRUE
MasterCard,TRUE
Miele_and_Cie,TRUE
NBA_Service_Desk,TRUE
Nexans_Service_Desk,TRUE
Nike_Service_Desk,TRUE
Novelis,TRUE
Numonyx,TRUE
Orbitz WW SD,TRUE
Philip_Morris,TRUE
PROXIMUS,TRUE
Reception Brussels,TRUE
Reydel,TRUE
Route One,TRUE
SAPA_Group,TRUE
SNHU,TRUE
SSV-POS,TRUE
Stryker ITSD,TRUE
Sulzer Service Desk,TRUE
Swagelok,TRUE
Town Sports International,TRUE
Travelport,TRUE
TRW Global,TRUE
TTX Americas,TRUE
Vallourec,TRUE
Vallourec NA,TRUE
Visteon,TRUE
